Y,Mongolia,Mongolia,,Shabarakh-usu 6 surface,7599 - 7365 BC,,8473 ± 64,6523±64,,,OES fragment,Struthio anderssoni Lowe,,73/984A,AA89875,surface,"Janz et al., 2015",,,,,,,,AMS
Y,Mongolia,Mongolia,,Shabarakh-usu 6 excavated,7459 - 7086 BC,,8254 ± 47,6304±47,,,OES fragment,Struthio anderssoni Lowe,,73/998A,AA89876,excavated,"Janz et al., 2015",,,,,,,,AMS
Y,Mongolia,Mongolia,,Shabarakh-usu 7,7139 - 6820 BC,,8054 ± 43,6104±43,,,OES fragment,Struthio anderssoni Lowe,,73/1034-01,AA76422,,"Janz et al., 2015",,,,,,,,AMS
Y,Mongolia,Mongolia,,Shabarakh-usu 7,"42,397 - 39,193 BC",,"38,600 ± 1000",36650±1000,,,OES fragment,Struthio anderssoni Lowe,,73/1034-02,AA76423,,"Janz et al., 2015",,,,,,,,AMS
Y,Mongolia,Mongolia,,Shabarakh-usu 7,7588 - 7357 BC,,8439 ± 60,6489±60,,,OES fragment,Struthio anderssoni Lowe,,73/1034-03,AA76424,,"Janz et al., 2015",,,,,,,,AMS
Y,Mongolia,Mongolia,,Shabarakh-usu 7,7184 - 6823 BC,,8081 ± 49,6131±49,,,OES bead blank,Struthio anderssoni Lowe,,73/1035-01,AA76425,,"Janz et al., 2015",,,,,,,,AMS
Y,Mongolia,Mongolia,,Orok Nor,7508 - 7185 BC,,8307 ± 56,6357±56,,,OES fragment,,,73/1790A,AA89882,,"Janz et al., 2015",,,,,,,,AMS
Y,Mongolia,Mongolia,,Orok Nor,7531 - 7191 BC,,8338 ± 55,6388±55,,,OES fragment,,,73/1790B,AA89883,,"Janz et al., 2015",,,,,,,,AMS
"Y repeats, combine?",China,China (PRC),eastern Inner Mongolia,Baron Shabaka (BS19),,14829 ± 298,12509 ±59,10559±59,,,OES,Struthio anderssoni Lowe,,2225-01,AA76426,,"Janz et al., 2009",,,,,,,,
"Y repeats, combine?",Mongolia,Mongolia,,Baron Shabaka Well (1928 e Site 19) hearth features,"13,134 - 12,371 BC",,"12,509 ± 59",10559±59,,,OES fragment,Struthio anderssoni Lowe,,73/2225-01,AA76426,,"Janz et al., 2015",,,,,,,,AMS
